St,_2MASS,Rmag,Kmag,pmRA,pmDE,SpT1,mbol,DMph,DMkin,RV,vsini,SpT,EWHa,EWLi,Mm,u_Mm,n_Mm,f_Mm,Opt,Denis,_RA,_DE,RA,DEC
b'C',b'02155892-0929121',11.199999809265137,7.550000190734863,97.80000305175781,-44.400001525878906,b'M2.3',10.170000076293945,1.5299999713897705,3.200000047683716,10.100000381469727,9.899999618530273,b'M1.9',-4.690000057220459,15.100000381469727,b'N',b'?',b'RV',b'',2.0,1.0,33.9955,-9.48669,33.9955,-9.48669
b'C',b'02180960-6657524',14.899999618530273,9.970000267028809,99.0,-14.699999809265137,b'M4.5',12.720000267028809,2.259999990463257,3.0999999046325684,11.0,14.0,b'M4.5',-6.760000228881836,375.1000061035156,b'Y',b'',b'Li',b'',2.0,2.0,34.54,-66.96456,34.54,-66.96456
b'C',b'02192210-3925225',15.5,10.399999618530273,111.80000305175781,-44.0,b'M5.9',13.319999694824219,1.3600000143051147,2.799999952316284,10.600000381469727,6.5,b'M4.9',-7.019999980926514,639.9000244140625,b'Y',b'',b'Li',b'',1.0,1.0,34.84208,-39.42292,34.84208,-39.42292
b'C',b'02201988-6855014',15.0,10.65999984741211,63.79999923706055,6.800000190734863,b'M3.5',13.359999656677246,3.8499999046325684,4.099999904632568,-15.5,4.099999904632568,b'M3.0',0.1899999976158142,8.699999809265137,b'N',b'',b'H{alpha}',b'',3.0,2.0,35.08283,-68.91706,35.08283,-68.91706
b'C',b'02205139-5823411',13.100000381469727,8.829999923706055,110.5,-8.899999618530273,b'M3.2',11.470000267028809,2.2200000286102295,2.9000000953674316,12.100000381469727,11.300000190734863,b'M3.2',-8.9399995803833,-12.100000381469727,b'Y',b'',b'RV',b'',2.0,1.0,35.21412,-58.39475,35.21412,-58.39475
b'C',b'02224418-6022476',12.600000381469727,8.100000381469727,136.89999389648438,-14.399999618530273,b'M4.2',10.829999923706055,0.699999988079071,2.4000000953674316,16.200000762939453,16.100000381469727,b'M3.4',-4.400000095367432,48.900001525878906,b'N',b'?',b'RV',b'',2.0,1.0,35.68408,-60.37989,35.68408,-60.37989
b'C',b'02234926-4238512',9.699999809265137,7.710000038146973,56.29999923706055,-24.200000762939453,b'K4.3',9.84000015258789,3.25,4.300000190734863,-17.899999618530273,4.0,b'K1.0',1.090000033378601,-9.199999809265137,b'N',b'',b'Li',b'',2.0,0.0,35.95525,-42.64756,35.95525,-42.64756
b'C',b'02242453-7033211',14.199999809265137,9.489999771118164,93.80000305175781,-6.400000095367432,b'M4.0',12.180000305175781,2.259999990463257,3.200000047683716,11.800000190734863,5.5,b'M3.3',-8.609999656677246,-5.800000190734863,b'Y',b'',b'RV',b'',2.0,2.0,36.10221,-70.55586,36.10221,-70.55586
b'C',b'02294569-5541496',14.800000190734863,10.260000228881836,89.5,-17.700000762939453,b'M4.3',12.970000267028809,2.7300000190734863,3.299999952316284,11.5,12.5,b'M4.8',-6.409999847412109,499.6000061035156,b'Y',b'',b'Li',b'',3.0,1.0,37.44037,-55.69711,37.44037,-55.69711
b'C',b'02294869-6906044',16.0,11.0600004196167,91.5,-5.400000095367432,b'M4.6',13.84000015258789,3.2699999809265137,3.299999952316284,13.0,14.800000190734863,b'M4.6',-11.640000343322754,566.0,b'Y',b'',b'Li',b'',1.0,2.0,37.45287,-69.10122,37.45287,-69.10122
b'C',b'02303239-4342232',9.800000190734863,7.230000019073486,81.4000015258789,-13.5,b'K7.0',9.4399995803833,2.549999952316284,3.5999999046325684,12.199999809265137,5.699999809265137,b'K4.4',0.019999999552965164,34.20000076293945,b'Y',b'',b'RV',b'',2.0,2.0,37.63496,-43.70644,37.63496,-43.70644
b'C',b'02304370-5811560',14.399999618530273,10.4399995803833,59.599998474121094,-0.10000000149011612,b'M3.4',13.079999923706055,3.6600000858306885,4.199999809265137,-16.0,4.599999904632568,b'M1.7',0.25,40.20000076293945,b'N',b'',b'H{alpha}',b'2',2.0,1.0,37.68208,-58.19889,37.68208,-58.19889
b'C',b'02321934-5746117',14.600000381469727,10.229999542236328,84.9000015258789,-17.700000762939453,b'M3.8',12.899999618530273,3.1500000953674316,3.4000000953674316,11.199999809265137,11.699999809265137,b'M4.1',-6.550000190734863,-20.600000381469727,b'Y',b'',b'RV',b'',3.0,1.0,38.08058,-57.76992,38.08058,-57.76992
b'C',b'02341866-5128462',14.399999618530273,9.760000228881836,100.5999984741211,-17.5,b'M4.2',12.479999542236328,2.3399999141693115,3.0999999046325684,10.899999618530273,11.199999809265137,b'M4.3',-8.329999923706055,-40.099998474121094,b'Y',b'',b'RV',b'',2.0,0.0,38.57775,-51.4795,38.57775,-51.4795
b'C',b'02351646-5049133',10.0,8.069999694824219,75.80000305175781,-8.5,b'K4.8',10.210000038146973,3.559999942779541,3.700000047683716,-14.899999618530273,4.199999809265137,b'K3.8',0.8199999928474426,-5.5,b'N',b'',b'Li',b'',2.0,1.0,38.81858,-50.82036,38.81858,-50.82036
b'C',b'02372562-4912033',11.699999809265137,8.619999885559082,63.79999923706055,-19.200000762939453,b'M0.0',11.0600004196167,3.4600000381469727,4.0,-0.6000000238418579,4.800000190734863,b'M0.3',0.5400000214576721,-7.900000095367432,b'N',b'',b'H{alpha}',b'',2.0,1.0,39.35675,-49.20092,39.35675,-49.20092
b'C',b'02383255-7528065',15.300000190734863,10.800000190734863,77.0999984741211,5.5,b'M4.7',13.609999656677246,2.9200000762939453,3.5999999046325684,12.300000190734863,8.699999809265137,b'M4.1',-8.789999961853027,-88.9000015258789,b'Y',b'',b'RV',b'',2.0,3.0,39.63562,-75.46847,39.63562,-75.46847
b'C',b'02412721-3049149',14.800000190734863,10.260000228881836,97.5,-32.20000076293945,b'M4.3',12.989999771118164,2.740000009536743,3.0999999046325684,18.200000762939453,12.800000190734863,b'M4.3',-8.829999923706055,0.4000000059604645,b'N',b'?',b'RV',b'',2.0,0.0,40.36337,-30.82081,40.36337,-30.82081
b'C',b'02420204-5359147',14.699999809265137,9.979999542236328,97.0,-20.799999237060547,b'M4.3',12.699999809265137,2.450000047683716,3.0999999046325684,11.5,22.899999618530273,b'M4.3',-9.40999984741211,-27.299999237060547,b'Y',b'',b'RV',b'',2.0,1.0,40.5085,-53.98742,40.5085,-53.98742
b'C',b'02420404-5359000',14.0,9.289999961853027,98.5999984741211,-10.300000190734863,b'M3.9',11.970000267028809,2.130000114440918,3.0999999046325684,11.899999618530273,19.399999618530273,b'M4.3',-8.9399995803833,-23.0,b'Y',b'',b'RV',b'',2.0,1.0,40.51683,-53.98333,40.51683,-53.98333
b'C',b'02441466-5221318',9.0,7.239999771118164,77.0,-7.599999904632568,b'K3.0',9.25,2.940000057220459,3.5999999046325684,14.699999809265137,4.599999904632568,b'G2.0',1.2200000286102295,29.100000381469727,b'N',b'',b'Li',b'',2.0,2.0,41.06108,-52.35883,41.06108,-52.35883
b'C',b'02474639-5804272',11.800000190734863,8.449999809265137,94.9000015258789,-4.0,b'M1.6',11.0,2.75,3.200000047683716,13.100000381469727,4.800000190734863,b'M1.8',-2.680000066757202,-8.600000381469727,b'Y',b'',b'RV',b'',2.0,1.0,41.94329,-58.07422,41.94329,-58.07422
b'C',b'02485260-3404246',12.699999809265137,8.399999618530273,89.0,-23.799999237060547,b'M3.9',11.09000015258789,1.25,3.299999952316284,23.299999237060547,7.800000190734863,b'M3.1',-9.970000267028809,5.099999904632568,b'N',b'?',b'RV',b'',2.0,0.0,42.21917,-34.0735,42.21917,-34.0735
b'C',b'02502222-6545552',13.300000190734863,9.4399995803833,76.69999694824219,2.5,b'M2.8',12.079999923706055,3.119999885559082,3.5999999046325684,15.0,8.699999809265137,b'M3.2',-7.090000152587891,-18.799999237060547,b'Y',b'',b'RV',b'',2.0,1.0,42.59258,-65.76533,42.59258,-65.76533
b'C',b'02505959-3409050',13.800000190734863,9.619999885559082,85.80000305175781,-21.0,b'M3.8',12.3100004196167,2.559999942779541,3.4000000953674316,9.899999618530273,26.100000381469727,b'M3.7',-6.190000057220459,6.900000095367432,b'Y',b'',b'RV',b'',2.0,0.0,42.74829,-34.15139,42.74829,-34.15139
b'C',b'02523550-7831183',15.800000190734863,10.779999732971191,67.5999984741211,15.899999618530273,b'M4.8',13.59000015258789,2.799999952316284,3.9000000953674316,12.800000190734863,11.600000381469727,b'M4.4',-7.46999979019165,45.0,b'Y',b'',b'RV',b'',2.0,3.0,43.14792,-78.52175,43.14792,-78.52175
b'C',b'02543316-5108313',11.100000381469727,7.78000020980835,92.69999694824219,-13.0,b'M1.4',10.34000015258789,2.180000066757202,3.200000047683716,13.800000190734863,5.199999809265137,b'M1.1',-2.4600000381469727,-1.2000000476837158,b'Y',b'',b'RV',b'',2.0,0.0,43.63817,-51.14203,43.63817,-51.14203
b'C',b'02553178-5702522',15.0,10.220000267028809,89.5,-5.800000190734863,b'M4.4',12.979999542236328,2.619999885559082,3.299999952316284,13.300000190734863,9.699999809265137,b'M4.3',-6.809999942779541,-82.9000015258789,b'Y',b'',b'RV',b'',2.0,2.0,43.88242,-57.04783,43.88242,-57.04783
b'C',b'02564708-6343027',12.699999809265137,9.010000228881836,67.4000015258789,8.800000190734863,b'M3.2',11.630000114440918,2.380000114440918,3.9000000953674316,16.700000762939453,27.0,b'M3.6',-9.319999694824219,9.199999809265137,b'Y',b'',b'RV',b'',2.0,1.0,44.19617,-63.71742,44.19617,-63.71742
