designation,RA,DEC,glon,glat,w1mpro,w2mpro,w3mpro,w4mpro,pmra,pmdec,j_m_2mass,h_m_2mass,k_m_2mass,ra_2,raerr,dec_2,decerr,nobs,mobs,vjmag,bjmag,gmag,rmag,imag,evjmag,ebjmag,egmag,ermag,eimag,name,Separation
J124137.54-541223.9,190.4064535,-54.2066455,301.481061,8.6375317,9.352,9.363,9.242,9.473,1,83,10.169,9.598,9.456,190.406322,0.138,-54.206652,0.083,11,55,12.049,12.974,12.465,11.692,11.317,0.041,0.045,0.037,0.033,0.061,20300016,0.27786147037661957
J163434.35-005840.3,248.6431562,-0.9778783,14.7492568,29.5118329,9.944,9.968,9.849,8.891,16,53,10.67,10.149,10.061,248.643192,0.159,-0.977858,0.109,4,20,12.412,13.299,12.839,12.093,11.801,0.026,0.024,0.028,0.036,0.016,20160229,0.14814149666961135
J150113.32-643646.1,225.3055204,-64.6128115,316.285128,-5.1604376,10.243,10.264,10.062,8.302,-4,55,10.973,10.44,10.323,225.305453,0.118,-64.612779,0.193,6,22,12.829,13.746,13.26,12.506,12.156,0.037,0.045,0.042,0.041,0.06,20162650,0.15655924665900012
J140826.09-571257.3,212.1087089,-57.2159424,313.2417716,4.1065729,11.098,11.07,10.074,8.112,-17,-220,11.845,11.374,11.236,212.109842,0.799,-57.215561,0.605,5,19,13.89,15.022,14.473,13.534,13.194,0.043,0.048,0.036,0.031,0.089,20162455,2.6007520876317627
J152008.87-670147.3,230.0369745,-67.029828,316.7167103,-8.2269024,9.975,9.991,9.904,8.582,-55,4,10.742,10.189,10.072,230.03701,0.301,-67.029747,0.735,4,18,12.792,13.816,13.244,12.448,12.012,0.063,0.075,0.03,0.069,0.068,20162702,0.29583441812524
J151518.92-661428.2,228.8288351,-66.2411873,316.7342398,-7.3043293,10.932,10.929,10.851,8.988,18,21,11.772,11.265,11.161,228.830117,1.176,-66.241474,0.556,5,19,13.772,14.654,14.181,13.486,13.072,0.017,0.033,0.025,0.059,0.106,20162702,2.1265193742111514
J171745.48-682234.8,259.4395189,-68.376347,323.6476454,-17.0697396,11.389,11.391,11.184,9.222,-27,4,11.975,11.504,11.46,259.439725,0.21,-68.376278,0.072,2,10,13.518,14.24,13.844,13.31,13.071,0.017,0.015,0.016,0.008,0.008,20132707,0.3694055231395545
J172522.28-682714.9,261.3428693,-68.454158,323.9495196,-17.7126288,10.689,10.694,10.572,9.046,-107,27,11.298,10.788,10.733,261.343064,0.053,-68.454152,0.067,2,10,12.892,13.643,13.225,12.64,12.363,0.01,0.006,0.011,0.006,0.014,20132707,0.258314441067421
J172609.07-673207.9,261.5378114,-67.5355321,324.8243669,-17.3212346,11.2,11.231,10.893,8.707,3,-55,11.958,11.382,11.297,261.538016,0.153,-67.535444,0.262,2,10,13.906,14.949,14.38,13.583,13.214,0,0.021,0.006,0.029,0.012,20132707,0.4240322066824363
J171928.60-685331.0,259.8692081,-68.8919445,323.2697114,-17.4698627,9.382,9.395,9.296,8.491,-92,-61,10.042,9.561,9.46,259.869193,0.037,-68.892001,0.032,2,10,11.662,12.488,12.04,11.391,11.108,0.015,0.026,0.015,0,0.022,20132707,0.20433991431185505
J170051.19-671507.0,255.2133189,-67.2519666,323.7139529,-15.119251,11.099,11.128,11.164,8.778,-83,-5,11.775,11.28,11.218,255.214629,0.675,-67.251891,0.417,2,10,13.606,14.461,13.957,13.337,13.003,0.026,0.017,0.053,0.011,0,20132706,1.8439175340266254
J170444.06-660222.8,256.1835965,-66.0396673,324.9702262,-14.7397095,9.413,9.418,9.334,8.752,-53,17,10.141,9.622,9.471,256.183619,0.048,-66.039659,0.065,2,10,12.157,13.124,12.612,11.819,11.444,0,0.026,0.006,0,0,20132655,0.04443937765824225
J170425.11-661747.0,256.1046433,-66.2963972,324.7331053,-14.8595856,10.79,10.801,10.85,8.665,-26,49,11.531,11.003,10.918,256.104831,0.107,-66.296452,0.085,2,10,13.388,14.295,13.802,13.076,12.722,0.006,0.032,0.006,0.011,0,20132655,0.3357218912686529
J171128.49-664539.4,257.8687324,-66.7609693,324.739432,-15.7018351,10.367,10.394,10.338,8.727,-27,-4,11.063,10.514,10.432,257.868651,0.285,-66.760902,0.87,2,20,12.775,13.62,13.145,12.491,12.186,0.017,0.013,0.014,0.022,0.033,20132707,0.2684559340088633
J170605.40-670016.2,256.5225405,-67.0045243,324.225133,-15.3966252,9.785,9.802,9.723,8.674,-27,-48,10.569,10.008,9.875,256.522251,0.315,-67.004361,0.385,2,10,12.678,13.697,13.141,12.294,11.89,0.023,0.01,0.015,0.006,0.015,20132707,0.715101691382692
J165706.81-655958.1,254.2783772,-65.9994795,324.5397667,-14.0859981,11.44,11.472,11.497,9.2,30,77,12.094,11.572,11.537,254.277416,0.36,-65.999444,0.164,2,10,13.893,14.735,14.277,13.599,13.294,0.008,0.038,0.014,0.014,0,20132655,1.4132589306995247
J170011.85-661638.2,255.0493973,-66.2772779,324.4967207,-14.501581,11.034,11.057,11.055,9.031,8,26,11.811,11.237,11.135,255.049399,0.299,-66.277393,0.184,2,10,13.907,14.964,14.416,13.544,13.135,0.017,0.035,0.006,0.011,0.008,20132655,0.41436731499926305
