Name,m_Name,H09,logg,Teff,Fbol,__Fe_H_,__a_Fe_,RV,ageMLP,M.MLP,SimbadName,RA,DEC
b'HD 23148',b'',b'H09',4.329999923706055,6427.0,5.051899876207244e-08,0.029999999329447746,-0.029999999329447746,8.899999618530273,0.5,1.25,b'HD 23148',55.49666666666666,-24.65222222222222
b'HD 23175',b'',b'H09',4.300000190734863,6717.0,1.3085999839290707e-08,-0.18000000715255737,0.07999999821186066,,0.6000000238418579,1.309999942779541,b'HD 23175',55.139999999999986,-52.69777777777777
b'HD 23358',b'',b'H09',4.25,7121.0,4.539100117995076e-08,-0.23000000417232513,0.10999999940395355,,0.800000011920929,1.4500000476837158,b'HD 23358',54.42041666666666,-74.82249999999999
b'HD 23384',b'',b'H09',4.28000020980835,7071.0,4.471100112368731e-08,-0.1599999964237213,0.09000000357627869,-2.4000000953674316,0.20000000298023224,1.4299999475479126,b'HD 23384',56.79416666666666,51.70611111111111
b'HD 24672',b'',b'H09',4.340000152587891,6534.0,9.455400018509863e-09,-0.11999999731779099,0.029999999329447746,18.899999618530273,0.8999999761581421,1.25,b'HD 24672',58.648333333333326,-20.460833333333333
b'HD 24755',b'',b'H09',4.349999904632568,6596.0,2.379099939275875e-08,-0.4699999988079071,0.2199999988079071,45.29999923706055,0.4000000059604645,1.2100000381469727,b'HD 24755',58.70416666666666,-35.70305555555556
b'HD 25085',b'',b'H09',4.449999809265137,5877.0,5.554300130938827e-09,-0.019999999552965164,0.03999999910593033,3.299999952316284,0.6000000238418579,1.0399999618530273,b'HD 25085',59.37833333333333,-39.522777777777776
b'HD 25102',b'',b'H09',4.269999980926514,6691.0,7.363600218468491e-08,0.10999999940395355,-0.03999999910593033,35.5,0.6000000238418579,1.3799999952316284,b'HD 25102',59.91833333333332,10.330277777777777
b'HD 25105',b'',b'H09',4.559999942779541,5355.0,1.1680000078229114e-08,-0.07000000029802322,-0.05999999865889549,15.399999618530273,0.10000000149011612,0.8600000143051147,b'HD 25105',59.48083333333333,-36.25972222222222
b'HD 25357',b'',b'H09',4.630000114440918,5002.0,4.8298001154023495e-09,-0.15000000596046448,-0.05000000074505806,21.600000381469727,0.10000000149011612,0.7799999713897705,b'HD 25357',60.11333333333332,-34.85
b'HD 25825',b'',b'H09',4.440000057220459,6028.0,1.95609999309454e-08,0.05000000074505806,-0.05000000074505806,37.70000076293945,0.10000000149011612,1.090000033378601,b'HD 25825',61.56708333333333,15.698055555555555
b'HD 25906',b'',b'H09',4.25,7011.0,3.783700108783705e-08,-0.14000000059604645,0.09000000357627869,,0.699999988079071,1.440000057220459,b'HD 25906',62.35166666666667,58.559999999999995
b'HD 25953',b'',b'H09',4.389999866485596,6320.0,1.943899974321539e-08,-0.1899999976158142,0.07999999821186066,15.899999618530273,0.10000000149011612,1.159999966621399,b'HD 25953',61.672916666666644,1.683888888888889
b'HD 26054',b'',b'H09',3.380000114440918,6799.0,2.0751999230128604e-08,0.30000001192092896,-0.1599999964237213,46.599998474121094,0.8999999761581421,2.2799999713897705,b'HD 26054',61.74541666666666,-15.989166666666666
b'HD 26263',b'',b'H09',4.289999961853027,6676.0,1.6095999200160804e-08,-0.10000000149011612,0.019999999552965164,,0.8999999761581421,1.309999942779541,b'HD 26263',61.77583333333332,-46.29805555555556
b'HD 26711',b'',b'H09',4.269999980926514,7047.0,1.4232999667740387e-08,-0.05000000074505806,-0.009999999776482582,,0.699999988079071,1.4600000381469727,b'HD 26711',63.56208333333333,18.89388888888889
b'HD 26756',b'',b'H09',4.510000228881836,5682.0,1.1572000246928837e-08,0.07999999821186066,-0.03999999910593033,38.20000076293945,0.10000000149011612,0.9900000095367432,b'HD 26756',63.60666666666667,14.625
b'HD 26767',b'',b'H09',4.480000019073486,5798.0,1.6315999218363686e-08,0.14000000059604645,-0.05999999865889549,37.70000076293945,0.699999988079071,1.0399999618530273,b'HD 26767',63.61333333333332,12.435277777777777
b'HD 26822',b'',b'H09',4.400000095367432,6310.0,1.272900007620592e-08,-0.1899999976158142,0.07999999821186066,2.4000000953674316,0.10000000149011612,1.159999966621399,b'HD 26822',62.984583333333326,-52.42388888888889
b'HD 27466',b'',b'H09',4.46999979019165,5789.0,2.0371999198687263e-08,-0.07999999821186066,0.03999999910593033,17.600000381469727,0.30000001192092896,1.0099999904632568,b'HD 27466',64.98749999999998,-4.438611111111111
b'HD 27534',b'',b'H09',4.25,6748.0,5.2010001638791437e-08,0.07999999821186066,0.009999999776482582,37.0,0.800000011920929,1.409999966621399,b'HD 27534',65.38416666666666,18.4175
b'HD 27732',b'',b'H09',4.510000228881836,5527.0,8.231800130431566e-09,0.05999999865889549,-0.05999999865889549,38.099998474121094,0.10000000149011612,0.9399999976158142,b'HD 27732',65.84291666666667,21.378888888888888
b'HD 27771',b'',b'H09',4.539999961853027,5282.0,7.0516001926534955e-09,0.019999999552965164,-0.09000000357627869,39.5,0.10000000149011612,0.8600000143051147,b'HD 27771',65.88458333333332,14.670277777777777
b'HD 28218',b'',b'H09',4.28000020980835,6973.0,2.554600087023573e-08,0.05000000074505806,0.0,38.099998474121094,0.10000000149011612,1.440000057220459,b'HD 28218',66.8425,7.062222222222222
