HIP,Memb,Simbad,_RA,_DE,RA,DEC
78968.0,89.0,b'Simbad',241.8122,-17.93603,241.8122,-17.93603
78996.0,86.0,b'Simbad',241.87469,-23.95068,241.87469,-23.95068
79031.0,88.0,b'Simbad',241.9662,-24.46235,241.9662,-24.46235
79044.0,81.0,b'Simbad',242.01824,-36.23184,242.01824,-36.23184
79054.0,91.0,b'Simbad',242.04377,-23.85067,242.04377,-23.85067
79078.0,58.0,b'Simbad',242.13581,-31.91975,242.13581,-31.91975
79080.0,51.0,b'Simbad',242.14286,-39.10509,242.14286,-39.10509
79081.0,63.0,b'Simbad',242.14401,-39.09285,242.14401,-39.09285
79097.0,66.0,b'Simbad',242.18195,-25.37683,242.18195,-25.37683
79098.0,55.0,b'Simbad',242.18217,-23.68542,242.18217,-23.68542
79124.0,82.0,b'Simbad',242.26084,-18.99556,242.26084,-18.99556
79142.0,54.0,b'Simbad',242.30684,-29.30434,242.30684,-29.30434
79156.0,88.0,b'Simbad',242.33703,-19.45721,242.33703,-19.45721
79229.0,76.0,b'Simbad',242.54116,-24.58242,242.54116,-24.58242
79250.0,92.0,b'Simbad',242.60565,-23.1065,242.60565,-23.1065
79288.0,87.0,b'Simbad',242.72961,-25.52268,242.72961,-25.52268
79363.0,71.0,b'Simbad',242.96119,-27.55272,242.96119,-27.55272
79366.0,87.0,b'Simbad',242.96941,-22.54504,242.96941,-22.54504
79369.0,82.0,b'Simbad',242.98133,-21.105,242.98133,-21.105
79374.0,72.0,b'Simbad',242.9989,-19.4607,242.9989,-19.4607
79383.0,74.0,b'Simbad',243.02473,-23.24575,243.02473,-23.24575
79392.0,86.0,b'Simbad',243.04122,-23.92153,243.04122,-23.92153
79399.0,82.0,b'Simbad',243.06683,-28.41731,243.06683,-28.41731
79400.0,54.0,b'Simbad',243.06978,-42.37505,243.06978,-42.37505
79404.0,82.0,b'Simbad',243.07585,-27.92637,243.07585,-27.92637
79410.0,79.0,b'Simbad',243.09097,-19.57905,243.09097,-19.57905
79439.0,63.0,b'Simbad',243.18375,-19.50287,243.18375,-19.50287
79476.0,80.0,b'Simbad',243.2983,-22.48518,243.2983,-22.48518
79516.0,77.0,b'Simbad',243.39306,-45.81768,243.39306,-45.81768
79530.0,79.0,b'Simbad',243.43958,-24.42209,243.43958,-24.42209
79599.0,85.0,b'Simbad',243.62035,-21.10763,243.62035,-21.10763
79622.0,76.0,b'Simbad',243.72263,-25.47697,243.72263,-25.47697
79631.0,86.0,b'Simbad',243.74069,-39.62781,243.74069,-39.62781
79673.0,83.0,b'Simbad',243.9048,-41.64965,243.9048,-41.64965
79690.0,70.0,b'Simbad',243.9605,-20.07646,243.9605,-20.07646
79710.0,79.0,b'Simbad',244.01599,-49.07483,244.01599,-49.07483
79739.0,65.0,b'Simbad',244.10489,-24.98874,244.10489,-24.98874
79742.0,76.0,b'Simbad',244.11821,-38.73677,244.11821,-38.73677
79771.0,89.0,b'Simbad',244.21094,-25.86298,244.21094,-25.86298
