Title: Memberships of the open cluster NGC 6405 based on a combined method: 
       Gaussian mixture model and random forest 
Authors: Gao X.
Table: A catalogue of fundamental information for 518 likely cluster members 
    with PRF >= 0.6
================================================================================
Byte-by-byte Description of file: ajaad690t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 19 I19    ---   Gaia   Gaia DR2 identifier
  21- 35 F15.11 deg   RAdeg  Gaia DR2 Right Ascension, decimal degrees (J2000)
  37- 51 F15.11 deg   DEdeg  Gaia DR2 Declination, decimal degrees (J2000)
  53- 57 F5.3   ---   PRF    RF membership probability
--------------------------------------------------------------------------------
4055069389424654976 265.09827659158 -32.05129942058 0.863 
4054941266262774656 264.64715564580 -32.40904696669 0.863 
4054219299489447296 265.20961962468 -32.22447547460 0.858 
4054327223389301632 265.31330226329 -31.92333601887 0.856 
4054318839612503552 265.16806955380 -32.08613018379 0.856 
4054211568548375296 264.97298294287 -32.37563745195 0.854 
4054316430118283008 265.27034972030 -32.08811632907 0.852 
4054976721211098496 264.97692841952 -32.03326223533 0.852 
4054323336422344192 265.43061656568 -31.96124546601 0.847 
4054979298190998784 264.91454033832 -32.05278084242 0.847 
4054220845662694784 264.98938814871 -32.29838733450 0.847 
4054317907586755584 265.24834829884 -32.08870757302 0.846 
4054216963027198592 265.10251100181 -32.33660153540 0.844 
4054977511484547328 264.85012475569 -32.10412177776 0.841 
4054975522921939200 265.01765997946 -32.09895449924 0.841 
4054317770147791872 265.21994669624 -32.10739233931 0.840 
4054214592205632896 264.95539330587 -32.35217956613 0.840 
4054215245040532608 264.84446849003 -32.35498741716 0.836 
4054979543002110208 264.91547319497 -32.02582084549 0.833 
4054218779743565056 265.21780680342 -32.29913278804 0.832 
4054991775078561408 264.73499688918 -31.97813360749 0.832 
4054966172770734848 264.79226319888 -32.33204187201 0.832 
4054221739016074496 264.95681594898 -32.26575530795 0.827 
4054217031732486016 265.13009539206 -32.33543936574 0.827 
4054220192842729344 265.15173159858 -32.21450805041 0.825 
4054979229471522432 264.92899251288 -32.05226678782 0.815 
4054969887924992256 264.66261266400 -32.23590099883 0.813 
4054221670311582976 264.96737060386 -32.28100374168 0.811 
4054214690935749376 264.93488658484 -32.34471201552 0.806 
4054314746490802048 265.23388416250 -32.13405776496 0.806 
4054976725512869504 264.97356721005 -32.03825566135 0.805 
4054220158482970240 265.14113584302 -32.23756908796 0.800 
4054297566621846784 265.55067120116 -32.32129517597 0.795 
4054991740718827264 264.71710052832 -31.99017453043 0.795 
4054977103470011008 264.82339839551 -32.14098702895 0.794 
4054973388316246144 264.91862908300 -32.17658529986 0.789 
4054300972529102080 265.27547849920 -32.27981825103 0.784 
4054308458657411200 265.51294177951 -32.15498071505 0.784 
4054308703472436608 265.50754999802 -32.12458094937 0.781 
4054221257994682112 265.01547430759 -32.27661179034 0.781 
4054316498836342912 265.29641793419 -32.06977143984 0.776 
4054220021043966976 265.19012163359 -32.23122549102 0.771 
4054967688901602944 264.83639041564 -32.23217346676 0.771 
4054964424716656256 264.80939530878 -32.35577419859 0.770 
4054222284439979008 265.00096940034 -32.23233239300 0.769 
4054296196527148032 265.48529742855 -32.33895706525 0.769 
4054205040198308224 265.26301869639 -32.43041239862 0.765 
4054223525737462784 265.08259659597 -32.17942004009 0.761 
4054219604380145152 265.09926433047 -32.27064397779 0.761 
4054217925099944064 265.09973025578 -32.29468954910 0.760 
4054201672943106176 265.37387923507 -32.42642583721 0.758 
4054220399001180544 265.16628426896 -32.18864911470 0.758 
4054172020487597952 264.89890978515 -32.63191681203 0.757 
4054314956962318720 265.24524571641 -32.10148069476 0.756 
4054213179105994880 264.77476403868 -32.41905739444 0.753 
4054319934810229888 265.30124559043 -32.04087577259 0.753 
4054224517816980864 265.10937748928 -32.12408727276 0.750 
4054975213674770176 264.98748825588 -32.09847335753 0.747 
4054320866820306816 265.18829542575 -31.99947456711 0.745 
4054316056473920256 265.39529448831 -32.05823155438 0.744 
4054154320874019712 265.42440195286 -32.47702045376 0.744 
4054202566279672320 265.31588340652 -32.40316900736 0.741 
4054973014651470720 264.90053405616 -32.18872893251 0.740 
4054223525737463424 265.08204626780 -32.17913297686 0.739 
4054318770873862656 265.11016031082 -32.07098984956 0.738 
4054198649268523776 265.25832453372 -32.57187705138 0.736 
4054217066106412032 265.11590657187 -32.32663799832 0.735 
4054222220052377600 265.01549236873 -32.23087471835 0.733 
4054967203562915456 264.78459228351 -32.27166120902 0.730 
4054321343558410368 265.24307770186 -31.95956396102 0.729 
4054222975966601472 265.04222561582 -32.21695027584 0.728 
4054214832708412672 264.95907187447 -32.33844016086 0.726 
4054300422792626944 265.37062420307 -32.27594758727 0.724 
4054218577934912128 265.13107911473 -32.30733777003 0.722 
4054314888242827648 265.26557433341 -32.12061273857 0.721 
4054222494945357568 264.98474326012 -32.21071109100 0.721 
4054321863269701760 265.41332132776 -32.05459605994 0.720 
