Star,P2,P1,Gaia,TYC,HIP,RAJ2000,DEJ2000,Gmag,Jmag,RAVE,Group,Size,Np,_2M,SimbadName,RA,DEC
1727.0,1.0,0.0,1.837016576895121e+18,b'2167-4-2',,303.688608,28.127191,10.564000129699707,9.638999938964844,b'',1303.0,2.0,1.0,b'2M',b'TYC 2167-4-2',303.688608,28.127191
1728.0,0.0,1.0,6.560527016670542e+18,b'8438-55-1',,332.916169,-47.386914,11.234999656677246,10.116999626159668,b'20040925_2205m49_087',1304.0,2.0,1.0,b'2M',b'TYC 8438-55-1',332.916169,-47.386914
1729.0,0.0,1.0,6.560534163496122e+18,b'8438-127-1',,332.606135,-47.382618,9.86299991607666,8.762999534606934,b'20070921_2203m46_137',1305.0,2.0,1.0,b'2M',b'TYC 8438-127-1',332.606135,-47.382618
1730.0,0.0,1.0,4.620841926660941e+16,b'1250-335-1',,61.058988,16.292797,11.600000381469727,10.380000114440918,b'',1306.0,2.0,1.0,b'2M',b'TYC 1250-335-1',61.058988,16.292797
1731.0,0.0,1.0,2.2014912468413614e+18,b'4263-2184-1',,333.39402,60.232518,9.395000457763672,8.552000045776367,b'',1307.0,2.0,1.0,b'2M',b'TYC 4263-2184-1',333.39402,60.232518
1732.0,1.0,0.0,5.83458972015736e+18,b'8723-2002-1',,243.914184,-59.223554,11.383999824523926,10.300000190734863,b'',817.0,2.0,1.0,b'2M',b'TYC 8723-2002-1',243.914184,-59.223554
1733.0,0.0,1.0,6.731251794889315e+18,b'7421-1163-1',,285.528323,-36.361744,8.342000007629395,8.022000312805176,b'',1308.0,2.0,1.0,b'2M',b'TYC 7421-1163-1',285.528323,-36.361744
1734.0,0.0,1.0,4.492734803220637e+18,b'996-1448-1',,263.709997,11.008888,10.541000366210938,9.52299976348877,b'',1309.0,2.0,1.0,b'2M',b'TYC 996-1448-1',263.709997,11.008888
1735.0,1.0,0.0,5.385134140092203e+18,b'7741-255-1',,175.300489,-37.791609,9.347999572753906,8.470000267028809,b'',1263.0,2.0,1.0,b'2M',b'TYC 7741-255-1',175.300489,-37.791609
1736.0,0.0,1.0,5.254552050368408e+18,b'8613-375-1',,159.169646,-59.308528,8.505999565124512,8.02299976348877,b'',1310.0,2.0,1.0,b'2M',b'TYC 8613-375-1',159.169646,-59.308528
1737.0,1.0,0.0,6.249186658449653e+18,b'',78968.0,241.812165,-17.936127,7.767000198364258,7.434999942779541,b'',4.0,72.0,104.0,b'2M',b'HIP 78968',241.812165,-17.936127
1738.0,0.0,1.0,2.2899608042686597e+18,b'4588-979-1',,293.981421,77.19153,9.449000358581543,7.986000061035156,b'',1311.0,2.0,1.0,b'2M',b'TYC 4588-979-1',293.981421,77.19153
1739.0,0.0,3.0,4.643165448650214e+16,b'1254-704-1',,60.843207,17.274132,9.541999816894531,8.645999908447266,b'',29.0,9.0,15.0,b'2M',b'TYC 1254-704-1',60.843207,17.274132
1740.0,1.0,0.0,4.645002354621281e+18,b'9147-1551-1',,36.654424,-71.490874,8.951000213623047,8.197999954223633,b'20080926_0243m16_057',1295.0,2.0,1.0,b'2M',b'TYC 9147-1551-1',36.654424,-71.490874
1741.0,1.0,0.0,6.560695379388547e+18,b'8440-1991-1',,329.276855,-49.077075,11.6850004196167,10.392999649047852,b'',1304.0,2.0,1.0,b'2M',b'TYC 8440-1991-1',329.276855,-49.077075
1742.0,0.0,1.0,4.645016682631266e+18,b'9147-1220-1',,38.554717,-71.340771,10.656999588012695,9.819000244140625,b'20050906_0211m69_132',1312.0,2.0,1.0,b'2M',b'TYC 9147-1220-1',38.554717,-71.340771
1743.0,0.0,1.0,5.819260122888452e+18,b'9277-1055-1',,243.127374,-70.220088,11.534000396728516,10.40999984741211,b'',1313.0,2.0,1.0,b'2M',b'TYC 9277-1055-1',243.127374,-70.220088
1744.0,0.0,1.0,2.135974991072597e+18,b'3568-746-1',,293.66448,50.658985,11.223999977111816,10.274999618530273,b'',1314.0,2.0,1.0,b'2M',b'TYC 3568-746-1',293.66448,50.658985
1745.0,0.0,1.0,1.0396226038010925e+18,b'',44557.0,136.175263,60.990723,7.388999938964844,6.066999912261963,b'',1315.0,2.0,1.0,b'2M',b'HIP 44557',136.175263,60.990723
1746.0,1.0,0.0,2.135977946010097e+18,b'3568-816-1',,293.654744,50.65386,11.175000190734863,10.211999893188477,b'',1314.0,2.0,1.0,b'2M',b'TYC 3568-816-1',293.654744,50.65386
1747.0,0.0,1.0,1.5753471374902405e+18,b'3837-778-1',,182.852216,57.166149,9.612000465393066,8.508999824523926,b'',1316.0,2.0,1.0,b'2M',b'TYC 3837-778-1',182.852216,57.166149
1748.0,0.0,1.0,6.249410855744362e+18,b'6205-408-1',,242.917269,-17.39962,11.069999694824219,9.836999893188477,b'',1317.0,2.0,1.0,b'2M',b'TYC 6205-408-1',242.917269,-17.39962
1749.0,1.0,0.0,6.249411199341746e+18,b'6205-12-1',,242.923598,-17.376023,11.244000434875488,9.932000160217285,b'',1317.0,2.0,1.0,b'2M',b'TYC 6205-12-1',242.923598,-17.376023
1750.0,0.0,1.0,5.444967707449511e+18,b'',50529.0,154.808446,-37.632331,7.929999828338623,7.770999908447266,b'',1318.0,2.0,1.0,b'2M',b'HIP 50529',154.808446,-37.632331
1751.0,0.0,1.0,2.201661087029248e+18,b'4264-252-1',,335.322997,61.461314,10.031999588012695,9.069999694824219,b'',1319.0,2.0,1.0,b'2M',b'TYC 4264-252-1',335.322997,61.461314
1752.0,1.0,0.0,2.2016612931876777e+18,b'4264-485-1',,335.285945,61.473704,9.895000457763672,8.885000228881836,b'',1319.0,2.0,1.0,b'2M',b'TYC 4264-485-1',335.285945,61.473704
1753.0,1.0,0.0,6.560798939639973e+18,b'',108866.0,330.81399,-48.270372,8.842000007629395,8.013999938964844,b'',1305.0,2.0,1.0,b'2M',b'HIP 108866',330.81399,-48.270372
1754.0,1.0,1.0,5.86882301468609e+18,b'8991-1439-1',,204.937333,-60.885354,10.52400016784668,9.57699966430664,b'',162.0,3.0,2.0,b'2M',b'TYC 8991-1439-1',204.937333,-60.885354
1755.0,0.0,1.0,3.972234073170098e+18,b'',56720.0,174.437086,15.143122,8.652000427246094,7.696000099182129,b'',165.0,3.0,2.0,b'2M',b'HIP 56720',174.437086,15.143122
1756.0,0.0,1.0,5.792221070372136e+18,b'9429-2800-1',,230.105093,-76.298383,9.998000144958496,9.29800033569336,b'',1320.0,2.0,1.0,b'2M',b'TYC 9429-2800-1',230.105093,-76.298383
1757.0,1.0,0.0,5.792221070375152e+18,b'9429-2800-2',,230.114816,-76.298269,10.805000305175781,9.895000457763672,b'',1320.0,2.0,1.0,b'2M',b'TYC 9429-2800-2',230.114816,-76.298269
1758.0,0.0,1.0,5.385330231119386e+18,b'7740-15-1',,173.773063,-39.170991,10.968999862670898,9.663000106811523,b'',1321.0,2.0,1.0,b'2M',b'TYC 7740-15-1',173.773063,-39.170991
1759.0,1.0,0.0,5.38533366709322e+18,b'7740-331-1',,173.747589,-39.086926,9.315999984741211,8.463000297546387,b'',1278.0,2.0,1.0,b'2M',b'TYC 7740-331-1',173.747589,-39.086926
1760.0,1.0,0.0,1.199436756337041e+18,b'',78154.0,239.375296,16.736212,9.890999794006348,9.109999656677246,b'',1218.0,2.0,1.0,b'2M',b'HIP 78154',239.375296,16.736212
1761.0,1.0,0.0,6.41669034863439e+18,b'',95704.0,292.001369,-72.418446,11.390000343322754,10.22599983215332,b'',330.0,2.0,1.0,b'2M',b'HIP 95704',292.001369,-72.418446
1762.0,0.0,1.0,5.285223683139324e+18,b'8916-1094-1',,105.04632,-64.736901,9.470000267028809,8.378999710083008,b'',1322.0,2.0,1.0,b'2M',b'TYC 8916-1094-1',105.04632,-64.736901
1763.0,0.0,1.0,1.8371644612067118e+18,b'2167-737-1',,304.645367,28.984205,11.043999671936035,9.87600040435791,b'',1323.0,2.0,1.0,b'2M',b'TYC 2167-737-1',304.645367,28.984205
1764.0,0.0,1.0,2.649889612113134e+18,b'',112880.0,342.889303,-1.812899,8.173999786376953,7.88100004196167,b'',1324.0,2.0,1.0,b'2M',b'HIP 112880',342.889303,-1.812899
1765.0,0.0,1.0,4.965146536804615e+18,b'7009-1037-1',,34.097869,-36.159677,9.715999603271484,8.720000267028809,b'20070922_0206m35_119',1325.0,2.0,1.0,b'2M',b'TYC 7009-1037-1',34.097869,-36.159677
