RIK,_2MASS,EWLi,e_EWLi,EWHa,e_EWHa,SpT,AV,D,_2M,Simbad,RA,DEC
133.0,b'J16141011-2217236',0.6200000047683716,0.03999999910593033,-3.0899999141693115,0.03999999910593033,b'M4.0',0.699999988079071,0.0,b'2M',b'Simbad',243.54216666666665,-22.28986111111111
134.0,b'J16141259-2454287',0.49000000953674316,0.019999999552965164,-2.059999942779541,0.029999999329447746,b'M0.5',0.6000000238418579,0.0,b'2M',b'Simbad',243.55241666666666,-24.907999999999998
135.0,b'J16143363-2004299',0.550000011920929,0.019999999552965164,-4.440000057220459,0.07999999821186066,b'M3.5',0.6000000238418579,0.0,b'2M',b'Simbad',243.64016666666666,-20.07497222222222
136.0,b'J16144125-2556052',0.6700000166893005,0.019999999552965164,-3.990000009536743,0.05000000074505806,b'M1.5',0.699999988079071,0.0,b'2M',b'Simbad',243.67191666666665,-25.934805555555556
137.0,b'J16144989-2139321',0.5600000023841858,0.019999999552965164,-2.609999895095825,0.029999999329447746,b'M2.5',0.4000000059604645,0.0,b'2M',b'Simbad',243.707875,-21.658944444444444
138.0,b'J16145244-2513523',0.1599999964237213,0.029999999329447746,-6.539999961853027,0.5,b'M3.5',0.6000000238418579,1.0,b'2M',b'Simbad',243.71837499999998,-25.23122222222222
139.0,b'J16145269-2308025',0.41999998688697815,0.029999999329447746,-4.230000019073486,0.03999999910593033,b'M3.5',0.6000000238418579,0.0,b'2M',b'Simbad',243.71958333333333,-23.134083333333333
140.0,b'J16150060-2919348',0.2800000011920929,0.029999999329447746,-3.5399999618530273,0.09000000357627869,b'M3.0',0.20000000298023224,0.0,b'2M',b'Simbad',243.75249999999994,-29.32636111111111
141.0,b'J16150620-2500459',0.5600000023841858,0.05000000074505806,-8.5600004196167,0.4699999988079071,b'M4.5',1.2999999523162842,0.0,b'2M',b'Simbad',243.77583333333334,-25.012805555555556
142.0,b'J16151104-2322425',0.5600000023841858,0.029999999329447746,-3.390000104904175,0.029999999329447746,b'M1.0',0.4000000059604645,0.0,b'2M',b'Simbad',243.79604166666667,-23.37852777777778
143.0,b'J16151239-2318453',0.30000001192092896,0.05000000074505806,-1.149999976158142,0.10999999940395355,b'K6.0',0.0,0.0,b'2M',b'Simbad',243.80166666666662,-23.312583333333333
144.0,b'J16151948-2540119',0.6600000262260437,0.03999999910593033,-7.579999923706055,0.14000000059604645,b'M1.5',0.699999988079071,0.0,b'2M',b'Simbad',243.8312083333333,-25.67
145.0,b'J16152750-2627281',0.46000000834465027,0.03999999910593033,-4.090000152587891,0.05999999865889549,b'M4.0',1.0,0.0,b'2M',b'Simbad',243.864625,-26.457805555555556
146.0,b'J16153220-2010236',0.6000000238418579,0.019999999552965164,-11.0600004196167,0.15000000596046448,b'M1.5',1.0,1.0,b'2M',b'Simbad',243.88416666666666,-20.17325
147.0,b'J16153311-2707587',0.5799999833106995,0.029999999329447746,-2.549999952316284,0.05999999865889549,b'M0.5',0.6000000238418579,0.0,b'2M',b'Simbad',243.88795833333333,-27.133
148.0,b'J16153587-2529008',0.4099999964237213,0.019999999552965164,-0.12999999523162842,0.019999999552965164,b'K4.5',0.699999988079071,0.0,b'2M',b'Simbad',243.8994166666666,-25.483611111111113
149.0,b'J16153642-2622090',0.36000001430511475,0.029999999329447746,-4.289999961853027,0.07999999821186066,b'M3.5',0.0,0.0,b'2M',b'Simbad',243.90179166666664,-26.369222222222223
150.0,b'J16154732-1911184',0.5699999928474426,0.019999999552965164,-5.079999923706055,0.11999999731779099,b'M1.5',1.2000000476837158,0.0,b'2M',b'Simbad',243.94720833333332,-19.188472222222224
151.0,b'J16155987-2325043',0.49000000953674316,0.029999999329447746,-0.800000011920929,0.03999999910593033,b'M0.0',0.0,0.0,b'2M',b'Simbad',243.99941666666663,-23.417916666666667
152.0,b'J16160080-2214192',0.5099999904632568,0.03999999910593033,-9.470000267028809,0.33000001311302185,b'M5.5',0.10000000149011612,0.0,b'2M',b'Simbad',244.00337499999995,-22.238694444444445
153.0,b'J16160292-2430548',0.4699999988079071,0.05000000074505806,-1.9199999570846558,0.07000000029802322,b'M1.0',0.800000011920929,0.0,b'2M',b'Simbad',244.01216666666664,-24.51522222222222
154.0,b'J16160856-2041514',0.5600000023841858,0.029999999329447746,-3.809999942779541,0.10000000149011612,b'M4.0',0.6000000238418579,0.0,b'2M',b'Simbad',244.03562499999995,-20.69763888888889
155.0,b'J16160947-2243437',0.38999998569488525,0.019999999552965164,-4.150000095367432,0.03999999910593033,b'M1.5',0.5,0.0,b'2M',b'Simbad',244.03949999999995,-22.72883333333333
156.0,b'J16161720-2609101',0.7099999785423279,0.05000000074505806,-2.240000009536743,0.05999999865889549,b'K4.0',0.30000001192092896,0.0,b'2M',b'Simbad',244.07166666666663,-26.152833333333334
157.0,b'J16161893-2542287',0.6100000143051147,0.03999999910593033,-7.340000152587891,0.14000000059604645,b'M1.5',0.699999988079071,0.0,b'2M',b'Simbad',244.0789166666666,-25.70797222222222
158.0,b'J16163346-2552367',0.5299999713897705,0.019999999552965164,-2.8399999141693115,0.03999999910593033,b'M0.5',1.2999999523162842,0.0,b'2M',b'Simbad',244.13937499999994,-25.87688888888889
159.0,b'J16165130-2433277',0.14000000059604645,0.019999999552965164,3.5899999141693115,0.05999999865889549,b'F8.0',1.399999976158142,0.0,b'2M',b'Simbad',244.21374999999998,-24.557694444444444
160.0,b'J16165984-2154272',0.17000000178813934,0.019999999552965164,-4.21999979019165,0.05000000074505806,b'M3.5',0.4000000059604645,0.0,b'2M',b'Simbad',244.24933333333328,-21.90758333333333
161.0,b'J16170606-2225414',0.3100000023841858,0.03999999910593033,-4.78000020980835,0.18000000715255737,b'M4.5',0.8999999761581421,0.0,b'2M',b'Simbad',244.27533333333332,-22.42811111111111
162.0,b'J16171380-2251584',0.5799999833106995,0.03999999910593033,-7.150000095367432,0.20000000298023224,b'M4.5',0.4000000059604645,0.0,b'2M',b'Simbad',244.30749999999998,-22.86625
163.0,b'J16171649-2327570',0.6100000143051147,0.019999999552965164,-8.59000015258789,0.05000000074505806,b'M3.5',0.6000000238418579,0.0,b'2M',b'Simbad',244.31875,-23.46586111111111
164.0,b'J16172162-2325004',0.6399999856948853,0.029999999329447746,-2.0,0.07000000029802322,b'M4.0',0.5,0.0,b'2M',b'Simbad',244.340125,-23.416777777777778
165.0,b'J16172297-2121119',0.6000000238418579,0.019999999552965164,-1.4500000476837158,0.05000000074505806,b'M1.0',0.0,0.0,b'2M',b'Simbad',244.34574999999998,-21.353305555555558
